kernel,accuracy,precision,sensitivity,specificity,f1Score,aucpr,iteration
Linear,0.796,0.166666666666667,0.005,0.99375,0.00970873786407767,0.292856271170418,1
RBF,0.798,0,0,0.9975,0,0.289526707069847,1
Dirac,0.8,0.5,0.045,0.98875,0.0825688073394495,0.284285646643176,1
k1,0.79,0.361111111111111,0.065,0.97125,0.110169491525424,0.275740113852155,1
m3,0.725,0.299465240641711,0.28,0.83625,0.289405684754522,0.282007145890465,1
Aitchison-Aitken,0.628,0.213333333333333,0.32,0.705,0.256,0.144162628229633,1
Li-Racin,0.64,0.233333333333333,0.35,0.7125,0.28,0.133470984086326,1
Wang-Ryzin,0.636,0.226666666666667,0.34,0.71,0.272,0.134632519352561,1
Ordered Aitchison-Aitken,0.644,0.24,0.36,0.715,0.288,0.132579193769432,1
Ordered Li-Racin,0.62,0.2,0.3,0.7,0.24,0.138790471276115,1
Linear,0.796,0.166666666666667,0.005,0.99375,0.00970873786407767,0.292856271170418,2
RBF,0.798,0,0,0.9975,0,0.289526707069847,2
Dirac,0.8,0.5,0.045,0.98875,0.0825688073394495,0.284285646643176,2
k1,0.79,0.361111111111111,0.065,0.97125,0.110169491525424,0.275740113852155,2
m3,0.725,0.299465240641711,0.28,0.83625,0.289405684754522,0.282007145890465,2
Aitchison-Aitken,0.628,0.213333333333333,0.32,0.705,0.256,0.144162628229633,2
Li-Racin,0.64,0.233333333333333,0.35,0.7125,0.28,0.133470984086326,2
Wang-Ryzin,0.636,0.226666666666667,0.34,0.71,0.272,0.134632519352561,2
Ordered Aitchison-Aitken,0.644,0.24,0.36,0.715,0.288,0.132579193769432,2
Ordered Li-Racin,0.62,0.2,0.3,0.7,0.24,0.138790471276115,2
Linear,0.797,0.333333333333333,0.015,0.9925,0.0287081339712919,0.263640639211389,3
RBF,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.278720189300843,3
Dirac,0.791,0.304347826086957,0.035,0.98,0.062780269058296,0.266461938064179,3
k1,0.787,0.314285714285714,0.055,0.97,0.0936170212765957,0.26808427393139,3
m3,0.739,0.274074074074074,0.185,0.8775,0.22089552238806,0.269068821967815,3
Aitchison-Aitken,0.604,0.173333333333333,0.26,0.69,0.208,0.139985230641506,3
Li-Racin,0.636,0.226666666666667,0.34,0.71,0.272,0.131287164572801,3
Wang-Ryzin,0.604,0.173333333333333,0.26,0.69,0.208,0.142128234644259,3
Ordered Aitchison-Aitken,0.594,0.156666666666667,0.235,0.68375,0.188,0.137049753027146,3
Ordered Li-Racin,0.636,0.226666666666667,0.34,0.71,0.272,0.135723235546139,3
Linear,0.796,0.166666666666667,0.005,0.99375,0.00970873786407767,0.313715028414611,4
RBF,0.8,NaN,0,1,0,0.325071783044587,4
Dirac,0.794,0.285714285714286,0.02,0.9875,0.0373831775700935,0.27926891788078,4
k1,0.786,0.266666666666667,0.04,0.9725,0.0695652173913043,0.277748012645592,4
m3,0.748,0.324324324324324,0.24,0.875,0.275862068965517,0.28545599131707,4
Aitchison-Aitken,0.636,0.226666666666667,0.34,0.71,0.272,0.135283696508522,4
Li-Racin,0.628,0.213333333333333,0.32,0.705,0.256,0.140941565910049,4
Wang-Ryzin,0.62,0.2,0.3,0.7,0.24,0.136165609579701,4
Ordered Aitchison-Aitken,0.612,0.186666666666667,0.28,0.695,0.224,0.141023352217727,4
Ordered Li-Racin,0.638,0.23,0.345,0.71125,0.276,0.136526453954387,4
Linear,0.8,0.5,0.015,0.99625,0.029126213592233,0.252336549140619,5
RBF,0.802,0.75,0.015,0.99875,0.0294117647058824,0.265274723789007,5
